report_nr,programm,projekttitel,antragsteller_innen_verantwortliche_personen,forderzeitraum_von,forderzeitraum_bis
18,Forschendes Lernen,Pergament und Mikrofon: Ein Mediävistischer Podcast,"Holger Kahle, Anika Meißner",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
18,Forschendes Lernen,Sprache - Literatur - Kultur: Chile im Spanischunterricht,"Jun.-Prof. Dr. Yasmin Temelli, Prof. Dr. Christian Grünnagel, Prof. Dr. Judith Visser",2019-06-01T00:00:00Z,2019-08-31T00:00:00Z
18,"Forschendes Lernen, Schwerpunkt Data Science",Digitale Analyse großer Textkorpora,"Dr. Stephanie Heimgartner, Jun.-Prof. Dr. Tatjana Scheffler, Prof. Dr. Stefanie Dipper, Prof. Dr. Judith Visser",2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
18,"Forschendes Lernen, Schwerpunkt Data Science",LIMELDAS: Linguistische Methoden: Linguistic Data Science,"Prof. Dr. Eva Belke, Jun.-Prof. Dr. Agata Renans, Prof. Dr. Stefanie Dipper, Prof. Dr. Tanja Anstatt, Prof. Dr. Judith Visser, Prof. Dr. Lena Heine, Prof. Dr. Eric Fuß, Prof. Dr. Karin Pittner, Jun.-Prof. Dr. Tatjana Scheffler",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
18,Germanistische Institutspartnerschaften (DAAD),Interkulturelles Deutschlehren und -lernen (Kiew),Prof. Dr. Björn Rothstein,2019-04-01T00:00:00Z,2021-12-31T00:00:00Z
18,Germanistische Institutspartnerschaften (DAAD),Interkulturelles Deutschlehren und -lernen (Kiew),Prof. Dr. Björn Rothstein,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z
18,Innovative Praxisprojekte,Technikzukünfte in der deutschsprachigen Science-Fiction-Literatur. Literaturwissenschaft als soziale Praxis,"Prof. Dr. Ralph Köhnen, Markus Tillmann",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
18,Innovative Praxisprojekte,WORTWORTWORT. Begleitung eines Literaturfestivals,Dr. Stephanie Heimgartner,2020-09-01T00:00:00Z,2021-03-31T00:00:00Z
18,inSTUDIES/Summer Schools,„tl;dr“ Too long; didn’t read (?) Große Textmengen computergestützt analysieren,"Dr. Frederik Elwert, Lena Liefke, Dr. Stephanie Heimgartner, Sebastian Gerhartz, Stefan Reiners",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
18,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
18,Lerninfrastrukturprogramm,Virtual Humanities Lab,Prof.  Dr. Florian Sprenger,2021-07-22T00:00:00Z,NA
18,Studentische Initiativprojekte,Die Sprache der Dinge,"Samira Kleinschmidt, Clara Stolz",2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
18,Studentische Initiativprojekte,Fake News,"Jennifer Haas, Julia Schmidt, Christina Lammering",2019-10-01T00:00:00Z,2020-12-31T00:00:00Z
18,Studentische Initiativprojekte,HERMAION 3.0,"Robert Queckenberg, Carina Liebel, Kristina Ahrens",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
18,Studentische Initiativprojekte,Ungebunden. Projekt Literaturagentur,"Nina Kullmann, Lisa Brammertz, Marlon Brand",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
19,Digitalisierung der Lehre,Digital-Modular-Learning-In-Surgery (DMLIS),"Dr. med. cand. habil Sebastian Brinkmann, Professor Dr. med. Dirk Bausch",2021-11-01T00:00:00Z,2022-12-31T00:00:00Z
19,Doppelabschluss MSc Stammzellen u Regenerative Medizin,DAAD-Förderung mit U Jinan,Prof. Beate Saberi,2019-08-01T00:00:00Z,2023-09-30T00:00:00Z
19,"Forschendes Lernen, Schwerpunkt Data Science",Datenkompetenz im Gesundheitsbereich am praktischen Beispiel ausgewählter Gesundheitsapps,"Birgit Zeyer-Gliozzo, Dr. Barbara Emons, Prof. Dr. Thorsten Schäfer, Prof. Dr. Markus Dürmuth",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
19,Innovative Praxisprojekte,Den Campus mitgestalten! Gründung eines Zentrums für simulationsbasierte Lehre (ZSBL) an der RUB,"Prof. Dr. Joachim Wirth, Prof. Dr. Uta Wilkens, Prof. Dr. Thorsten Schäfer",2020-08-15T00:00:00Z,2021-08-15T00:00:00Z
19,Visiting Professors Linie 2,Gastdozentur Prof.Mazzolini,Prof. Dr. Thomas Feldhoff,2020-12-01T00:00:00Z,2021-02-28T00:00:00Z
20,Digitalisierung der Lehre,Digital-Modular-Learning-In-Surgery (DMLIS),"Dr. med. cand. habil Sebastian Brinkmann, Professor Dr. med. Dirk Bausch",2021-11-01T00:00:00Z,2022-12-31T00:00:00Z
20,Doppelabschluss MSc Stammzellen u Regenerative Medizin,DAAD-Förderung mit U Jinan,Prof. Beate Saberi,2019-08-01T00:00:00Z,2023-09-30T00:00:00Z
20,"Forschendes Lernen, Schwerpunkt Data Science",Datenkompetenz im Gesundheitsbereich am praktischen Beispiel ausgewählter Gesundheitsapps,"Birgit Zeyer-Gliozzo, Dr. Barbara Emons, Prof. Dr. Thorsten Schäfer, Prof. Dr. Markus Dürmuth",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
20,Innovative Praxisprojekte,Den Campus mitgestalten! Gründung eines Zentrums für simulationsbasierte Lehre (ZSBL) an der RUB,"Prof. Dr. Joachim Wirth, Prof. Dr. Uta Wilkens, Prof. Dr. Thorsten Schäfer",2020-08-15T00:00:00Z,2021-08-15T00:00:00Z
20,Visiting Professors Linie 2,Gastdozentur Prof.Mazzolini,Prof. Dr. Thomas Feldhoff,2020-12-01T00:00:00Z,2021-02-28T00:00:00Z
21,"Forschendes Lernen, Schwerpunkt Data Science",Interdisziplinär mit digitalen Daten forschen,"Prof. Dr. Estrid Sørensen, Dipl.-Biol. Kerstin Kallweit",2020-02-01T00:00:00Z,2021-09-30T00:00:00Z
21,"Forschendes Lernen, Schwerpunkt Data Science",Sport Science goes Open Source: Entwicklung einer frei verfügbaren Softwarebibliothek für Lehre und Wissenschaft,"Robin Schäfer, Dr. Markus Reichert, Prof. Dr. Laurenz Wiskott, Pablo Nolte",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
22,Forschendes Lernen,Nachhaltigkeitsforschung in der Praxis – Die RUB als lebendes Labor für die Entwicklung und Umsetzung von Nachhaltigkeitsmaßnahmen über eine kooperative Einbindung in Forschung und Lehre,"Dr.-Ing. Christian Jolk, Prof. Dr. Harro Stolpe,Prof. Dr.-Ing. Martin Radenberg, Ina Schwarz, Matthias Thome, Johannes Gerwers, Dr. Ulrike Schulte",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
22,Innovative Praxisprojekte,"""Blue Engineering“ - Soziale und ökologische Verantwortung von Ingenieurinnen und Ingenieuren","Prof. Dr. Harro Stolpe, M.Sc. Marvin Nöller, Kiara Stein",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
22,Studentische Initiativprojekte,Nachhaltiges Bauen und Wohnen am Beispiel Tiny House,"Ulrike Emonds, Marvin Nöller",2019-04-01T00:00:00Z,2020-06-30T00:00:00Z
23,Forschendes Lernen,Nachhaltigkeitsforschung in der Praxis – Die RUB als lebendes Labor für die Entwicklung und Umsetzung von Nachhaltigkeitsmaßnahmen über eine kooperative Einbindung in Forschung und Lehre,"Dr.-Ing. Christian Jolk, Prof. Dr. Harro Stolpe,Prof. Dr.-Ing. Martin Radenberg, Ina Schwarz, Matthias Thome, Johannes Gerwers, Dr. Ulrike Schulte",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
23,Innovative Praxisprojekte,"""Blue Engineering“ - Soziale und ökologische Verantwortung von Ingenieurinnen und Ingenieuren","Prof. Dr. Harro Stolpe, M.Sc. Marvin Nöller, Kiara Stein",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
23,Studentische Initiativprojekte,Nachhaltiges Bauen und Wohnen am Beispiel Tiny House,"Ulrike Emonds, Marvin Nöller",2019-04-01T00:00:00Z,2020-06-30T00:00:00Z
24,"Forschendes Lernen, Schwerpunkt Data Science",Big Data in der Windenergietechnik,"Prof. Dr.-Ing. Constantinos Sourkounis, Philip Krajinski",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
24,"Forschendes Lernen, Schwerpunkt Data Science",Datenkompetenz im Gesundheitsbereich am praktischen Beispiel ausgewählter Gesundheitsapps,"Birgit Zeyer-Gliozzo, Dr. Barbara Emons, Prof. Dr. Thorsten Schäfer, Prof. Dr. Markus Dürmuth",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
24,Innovative Praxisprojekte,Praxis-Startup - von der theoretischen Grundlagenveranstaltung zur innovativen Lösung praktischer Anwendungsprobleme,Prof. Dr. Martin Hofmann; Dr. Corinna Heldt,2020-10-01T00:00:00Z,2021-07-30T00:00:00Z
24,Lerninfrastrukturprogramm,Funksysteme,"Prof. Dr. Christof Paar, Dr. Christian Zenger",2021-07-22T00:00:00Z,NA
24,Lerninfrastrukturprogramm,Smarte Apparate,"Prof. Dr Thomas Musch, Herr Stephan Westerdick",2021-12-15T00:00:00Z,NA
26,"Forschendes Lernen, Schwerpunkt Data Science",Big Data in der Windenergietechnik,"Prof. Dr.-Ing. Constantinos Sourkounis, Philip Krajinski",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
26,"Forschendes Lernen, Schwerpunkt Data Science",Datenkompetenz im Gesundheitsbereich am praktischen Beispiel ausgewählter Gesundheitsapps,"Birgit Zeyer-Gliozzo, Dr. Barbara Emons, Prof. Dr. Thorsten Schäfer, Prof. Dr. Markus Dürmuth",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
26,Innovative Praxisprojekte,Praxis-Startup - von der theoretischen Grundlagenveranstaltung zur innovativen Lösung praktischer Anwendungsprobleme,Prof. Dr. Martin Hofmann; Dr. Corinna Heldt,2020-10-01T00:00:00Z,2021-07-30T00:00:00Z
26,Lerninfrastrukturprogramm,Funksysteme,"Prof. Dr. Christof Paar, Dr. Christian Zenger",2021-07-22T00:00:00Z,NA
26,Lerninfrastrukturprogramm,Smarte Apparate,"Prof. Dr Thomas Musch, Herr Stephan Westerdick",2021-12-15T00:00:00Z,NA
27,"Forschendes Lernen, Schwerpunkt Data Science",Big Data in der Windenergietechnik,"Prof. Dr.-Ing. Constantinos Sourkounis, Philip Krajinski",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
27,"Forschendes Lernen, Schwerpunkt Data Science",Datenkompetenz im Gesundheitsbereich am praktischen Beispiel ausgewählter Gesundheitsapps,"Birgit Zeyer-Gliozzo, Dr. Barbara Emons, Prof. Dr. Thorsten Schäfer, Prof. Dr. Markus Dürmuth",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
27,Innovative Praxisprojekte,Praxis-Startup - von der theoretischen Grundlagenveranstaltung zur innovativen Lösung praktischer Anwendungsprobleme,Prof. Dr. Martin Hofmann; Dr. Corinna Heldt,2020-10-01T00:00:00Z,2021-07-30T00:00:00Z
27,Lerninfrastrukturprogramm,Funksysteme,"Prof. Dr. Christof Paar, Dr. Christian Zenger",2021-07-22T00:00:00Z,NA
27,Lerninfrastrukturprogramm,Smarte Apparate,"Prof. Dr Thomas Musch, Herr Stephan Westerdick",2021-12-15T00:00:00Z,NA
28,Digitalisierung der Lehre,Maschinelles Lernen im Maschinenbau,Univ.-Prof. Dr.-Ing. Detlef Gerhard,2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
28,eLearning-Wettbewerb 5x5000,4 for U: Nachhaltige digitale Begleitung im internationalen Studiengang,"Jun.-Prof. Dr. Anna Grünebohm, Jutta Kellermann, Dr. Manuel Piacenza",2020-08-19T00:00:00Z,2021-03-31T00:00:00Z
28,eLearning-Wettbewerb 5x5000,eLanUm - Der ePfad durch die Lande der Umweltchemie,Prof. Dr. Thomas Müller,2019-08-06T00:00:00Z,2020-03-31T00:00:00Z
28,Forschendes Lernen,Werkstoffkunde für Studierende in der Studieneingangsphase neu gedacht - Entwicklung einer forschenden werkstoffkundlichen Lehre unter Berücksichtigung nachhaltiger Entwicklungsziele,Prof. Dr. Sebastian Weber,2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
28,Innovative Praxisprojekte,KIbox - Kickbox-unterstützte Lösung von Nachhaltigkeits Challenges durch den Einsatz künstlicher Intelligenz,"Prof. Dr. Jens Pöppelbuß, Prof. Dr. Christian Meske",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
28,Innovative Praxisprojekte,Sustainable Product and Business Development,"Prof. Dr.-Ing. Sebastian Weber, M.A. Tina Boes",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
28,Lerninfrastrukturprogramm,Mobile Roboter-Lernplattform,Herr Dr. Alfred Hypki,2021-02-02T00:00:00Z,NA
28,Lerninfrastrukturprogramm,SPS Lernumgebung,"Prof. Dr. Bernd Kuhlenkötter, Herr Dr. Alfred Hypki",2021-07-22T00:00:00Z,NA
28,Studentische Initiativprojekte,Sales Challenge,"Marco Schneider, Nadine Lipka",2019-10-01T00:00:00Z,2020-07-31T00:00:00Z
28,UNIC@RUB,Sustainability in Process Engineering,Dr.-Ing. Philip Biessey,2022-02-01T00:00:00Z,2022-07-31T00:00:00Z
29,Digitalisierung der Lehre,Maschinelles Lernen im Maschinenbau,Univ.-Prof. Dr.-Ing. Detlef Gerhard,2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
29,eLearning-Wettbewerb 5x5000,4 for U: Nachhaltige digitale Begleitung im internationalen Studiengang,"Jun.-Prof. Dr. Anna Grünebohm, Jutta Kellermann, Dr. Manuel Piacenza",2020-08-19T00:00:00Z,2021-03-31T00:00:00Z
29,eLearning-Wettbewerb 5x5000,eLanUm - Der ePfad durch die Lande der Umweltchemie,Prof. Dr. Thomas Müller,2019-08-06T00:00:00Z,2020-03-31T00:00:00Z
29,Forschendes Lernen,Werkstoffkunde für Studierende in der Studieneingangsphase neu gedacht - Entwicklung einer forschenden werkstoffkundlichen Lehre unter Berücksichtigung nachhaltiger Entwicklungsziele,Prof. Dr. Sebastian Weber,2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
29,Innovative Praxisprojekte,KIbox - Kickbox-unterstützte Lösung von Nachhaltigkeits Challenges durch den Einsatz künstlicher Intelligenz,"Prof. Dr. Jens Pöppelbuß, Prof. Dr. Christian Meske",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
29,Innovative Praxisprojekte,Sustainable Product and Business Development,"Prof. Dr.-Ing. Sebastian Weber, M.A. Tina Boes",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
29,Lerninfrastrukturprogramm,Mobile Roboter-Lernplattform,Herr Dr. Alfred Hypki,2021-02-02T00:00:00Z,NA
29,Lerninfrastrukturprogramm,SPS Lernumgebung,"Prof. Dr. Bernd Kuhlenkötter, Herr Dr. Alfred Hypki",2021-07-22T00:00:00Z,NA
29,Studentische Initiativprojekte,Sales Challenge,"Marco Schneider, Nadine Lipka",2019-10-01T00:00:00Z,2020-07-31T00:00:00Z
29,UNIC@RUB,Sustainability in Process Engineering,Dr.-Ing. Philip Biessey,2022-02-01T00:00:00Z,2022-07-31T00:00:00Z
30,Digitalisierung der Lehre,Maschinelles Lernen im Maschinenbau,Univ.-Prof. Dr.-Ing. Detlef Gerhard,2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
30,eLearning-Wettbewerb 5x5000,4 for U: Nachhaltige digitale Begleitung im internationalen Studiengang,"Jun.-Prof. Dr. Anna Grünebohm, Jutta Kellermann, Dr. Manuel Piacenza",2020-08-19T00:00:00Z,2021-03-31T00:00:00Z
30,eLearning-Wettbewerb 5x5000,eLanUm - Der ePfad durch die Lande der Umweltchemie,Prof. Dr. Thomas Müller,2019-08-06T00:00:00Z,2020-03-31T00:00:00Z
30,Forschendes Lernen,Werkstoffkunde für Studierende in der Studieneingangsphase neu gedacht - Entwicklung einer forschenden werkstoffkundlichen Lehre unter Berücksichtigung nachhaltiger Entwicklungsziele,Prof. Dr. Sebastian Weber,2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
30,Innovative Praxisprojekte,KIbox - Kickbox-unterstützte Lösung von Nachhaltigkeits Challenges durch den Einsatz künstlicher Intelligenz,"Prof. Dr. Jens Pöppelbuß, Prof. Dr. Christian Meske",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
30,Innovative Praxisprojekte,Sustainable Product and Business Development,"Prof. Dr.-Ing. Sebastian Weber, M.A. Tina Boes",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
30,Lerninfrastrukturprogramm,Mobile Roboter-Lernplattform,Herr Dr. Alfred Hypki,2021-02-02T00:00:00Z,NA
30,Lerninfrastrukturprogramm,SPS Lernumgebung,"Prof. Dr. Bernd Kuhlenkötter, Herr Dr. Alfred Hypki",2021-07-22T00:00:00Z,NA
30,Studentische Initiativprojekte,Sales Challenge,"Marco Schneider, Nadine Lipka",2019-10-01T00:00:00Z,2020-07-31T00:00:00Z
30,UNIC@RUB,Sustainability in Process Engineering,Dr.-Ing. Philip Biessey,2022-02-01T00:00:00Z,2022-07-31T00:00:00Z
31,Forschendes Lernen,Nachhaltigkeitsforschung in der Praxis – Die RUB als lebendes Labor für die Entwicklung und Umsetzung von Nachhaltigkeitsmaßnahmen über eine kooperative Einbindung in Forschung und Lehre,"Dr.-Ing. Christian Jolk, Prof. Dr. Harro Stolpe,Prof. Dr.-Ing. Martin Radenberg, Ina Schwarz, Matthias Thome, Johannes Gerwers, Dr. Ulrike Schulte",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
31,Innovative Praxisprojekte,"""Blue Engineering“ - Soziale und ökologische Verantwortung von Ingenieurinnen und Ingenieuren","Prof. Dr. Harro Stolpe, M.Sc. Marvin Nöller, Kiara Stein",2022-04-01T00:00:00Z,2023-03-31T00:00:00Z
31,Studentische Initiativprojekte,Nachhaltiges Bauen und Wohnen am Beispiel Tiny House,"Ulrike Emonds, Marvin Nöller",2019-04-01T00:00:00Z,2020-06-30T00:00:00Z
32,Doppelabschluss BA Geschichte,DFH-geförderter Studiengang mit U Tours,Dr. Jens Lieven,2020-08-30T00:00:00Z,2024-07-31T00:00:00Z
32,eLearning-Wettbewerb 5x5000,#history – Geschichte(n) erzählen mit dem Smartphone,Mia Berg,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
32,eLearning-Wettbewerb 5x5000,EDIT – gEschichte DIgiTal produzieren,"Jun.-Prof. Dr. Christian Bunnenberg, Theresa Hiller, Elena Lewers",2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
32,eLearning-Wettbewerb 5x5000,Lehrsammlungen in Bewegung,Dr. Soi Agelidis,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
32,Forschendes Lernen,Außer Spesen nichts gewesen? - Schulden und öffentliche Haushalte im Mittelalter am Beispiel der Stadtrechnungen von Kalkar.,Dr. Jens Lieven,2019-10-01T00:00:00Z,2020-09-30T00:00:00Z
32,Forschendes Lernen,Ausstellungen eigenständig gestalten im Masterstudiengang Public History,Jun.-Prof. Dr. Christian Bunnenberg,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
32,Forschendes Lernen,Landschaftsarchäologie begreifen. Entwicklung eigenständiger Forschungsansätze im Rahmen der Feldforschungsprojekte der Ur- und Frühgeschichte,"Jun.-Prof. Dr. Constance von Rüden, Prof. Dr. Thomas Stöllner, Dr. des. Aydin Abar",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
32,Forschendes Lernen,Making History: Thematische und methodische Einblicke in die Erstellung von geschichtswissenschaftlichen Bachelorarbeiten,"Anna Victoria Breidenbach, Robert Queckenberg, Prof. Dr. Christian Wendt, Jun.-Prof. Dr. Tim Neu, Jun.-Prof. Dr. Juliane Czierpka",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
32,Forschendes Lernen,Von der Neugier zur Publikation. Einblicke in die Projektentwicklung und die Durchführung archäologischer Feldforschung in den tridentiner Alpen (Italien),Dr. des. Aydin Abar,2021-04-01T00:00:00Z,2021-10-31T00:00:00Z
32,"Forschendes Lernen, Schwerpunkt Data Science",DigiAttika 2.0: Analytische Ansätze zu einem digitalen Repositorium,Dr. phil. Barbora Weissova,2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
32,"Forschendes Lernen, Schwerpunkt Data Science",Interaktivierung eines Staubfängers: Das Potential archivarischer Daten entdecken und mit Data Science erschließen,Dr. Barbora Weissova,2020-10-01T00:00:00Z,2022-03-31T00:00:00Z
32,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
32,Studentische Initiativprojekte,Lernen Durch Erinnern,"Sebastian Döpp, Thorben Pieper, Luise Mohr, Chris Buchholz, Jano Meyer, Janina Schäuffele",2019-10-01T00:00:00Z,2021-03-31T00:00:00Z
33,Doppelabschluss BA Franko-Germanistische Studien,DFH-geförderter Studiengang mit U La Réunion,Dr. Judith Kittler,2021-10-01T00:00:00Z,2025-09-30T00:00:00Z
33,Doppelabschluss MA Russische Kultur,DAAD-ISAP-Förderung mit RGGU Moskau,"Prof. Christoph Garstka, Dr. Maria Brauckhoff",2019-08-01T00:00:00Z,2021-09-30T00:00:00Z
33,Doppelabschluss MA Russische Kultur,DAAD-ISAP-Förderung mit RGGU Moskau,"Prof. Christoph Garstka, Dr. Maria Brauckhoff",2021-08-01T00:00:00Z,2025-10-31T00:00:00Z
33,eLearning-Wettbewerb 5x5000,Learning Hubs – das Smartphone als e-Learning Tool und Analysegegenstand im Bereich der Virtual Reality,Janou Feikens,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
33,eLearning-Wettbewerb 5x5000,Mediävistisches Varieté: Eine Bühne für die mittelalterliche Sprache und Literatur,PD Dr. Michael Ralf Ott,2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
33,eLearning-Wettbewerb 5x5000,"Ready, Set, Play! Game based Learning und Blended Learning in der Medienwissenschaft",Janou Feikens,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
33,Forschendes Lernen,Der künstliche Text. Eine Editionswerkstatt zu Konrads von Würzburgs 'Engelhard'.,Dr. phil. Lina Herz,2019-10-01T00:00:00Z,2020-03-31T00:00:00Z
33,Forschendes Lernen,Digitale Methoden in der Klassischen Philologie: „Dyskolos“ digital,Julia Jennifer Beine,2021-10-01T00:00:00Z,2022-03-31T00:00:00Z
33,Forschendes Lernen,"Literarische Topographie. Erstellung einer interaktiven Online-Karte zu Ernst Jüngers Roman ""Heliopolis""",Dr. Manuel Mackasare,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
33,Forschendes Lernen,Pergament und Mikrofon: Ein Mediävistischer Podcast,"Holger Kahle, Anika Meißner",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
33,Forschendes Lernen,Sprache - Literatur - Kultur: Chile im Spanischunterricht,"Jun.-Prof. Dr. Yasmin Temelli, Prof. Dr. Christian Grünnagel, Prof. Dr. Judith Visser",2019-06-01T00:00:00Z,2019-08-31T00:00:00Z
33,"Forschendes Lernen, Schwerpunkt Data Science",Digitale Analyse großer Textkorpora,"Dr. Stephanie Heimgartner, Jun.-Prof. Dr. Tatjana Scheffler, Prof. Dr. Stefanie Dipper, Prof. Dr. Judith Visser",2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
33,"Forschendes Lernen, Schwerpunkt Data Science",LIMELDAS: Linguistische Methoden: Linguistic Data Science,"Prof. Dr. Eva Belke, Jun.-Prof. Dr. Agata Renans, Prof. Dr. Stefanie Dipper, Prof. Dr. Tanja Anstatt, Prof. Dr. Judith Visser, Prof. Dr. Lena Heine, Prof. Dr. Eric Fuß, Prof. Dr. Karin Pittner, Jun.-Prof. Dr. Tatjana Scheffler",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
33,Germanistische Institutspartnerschaften (DAAD),Interkulturelles Deutschlehren und -lernen (Kiew),Prof. Dr. Björn Rothstein,2019-04-01T00:00:00Z,2021-12-31T00:00:00Z
33,Germanistische Institutspartnerschaften (DAAD),Interkulturelles Deutschlehren und -lernen (Kiew),Prof. Dr. Björn Rothstein,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z
33,Innovative Praxisprojekte,Technikzukünfte in der deutschsprachigen Science-Fiction-Literatur. Literaturwissenschaft als soziale Praxis,"Prof. Dr. Ralph Köhnen, Markus Tillmann",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
33,Innovative Praxisprojekte,WORTWORTWORT. Begleitung eines Literaturfestivals,Dr. Stephanie Heimgartner,2020-09-01T00:00:00Z,2021-03-31T00:00:00Z
33,inSTUDIES/Summer Schools,„tl;dr“ Too long; didn’t read (?) Große Textmengen computergestützt analysieren,"Dr. Frederik Elwert, Lena Liefke, Dr. Stephanie Heimgartner, Sebastian Gerhartz, Stefan Reiners",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
33,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
33,Lerninfrastrukturprogramm,Virtual Humanities Lab,Prof.  Dr. Florian Sprenger,2021-07-22T00:00:00Z,NA
33,Studentische Initiativprojekte,Die Sprache der Dinge,"Samira Kleinschmidt, Clara Stolz",2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
33,Studentische Initiativprojekte,Fake News,"Jennifer Haas, Julia Schmidt, Christina Lammering",2019-10-01T00:00:00Z,2020-12-31T00:00:00Z
33,Studentische Initiativprojekte,HERMAION 3.0,"Robert Queckenberg, Carina Liebel, Kristina Ahrens",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
33,Studentische Initiativprojekte,Ungebunden. Projekt Literaturagentur,"Nina Kullmann, Lisa Brammertz, Marlon Brand",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
34,Digitalisierung der Lehre,E-Teaching Biochemie – Vorbereitend.Begleitend.Kooperativ.,"Prof. Dr. Thomas Günther-Pomorski, Dr. Daniel Tapken",2022-05-01T00:00:00Z,2023-04-30T00:00:00Z
34,Innovative Praxisprojekte,Kollaboration im B2B Wertschöpfungsnetzwerk - Nutzung von Laborerfahrung für den Transfer zu Praxispartnern (Exploiting the Collaboration Space),"Prof. Dr. Uta Wilkens, Prof. Dr. Kristina Tschulik",2020-05-01T00:00:00Z,2021-12-01T00:00:00Z
35,eLearning-Wettbewerb 5x5000,Statistik for you,Dr. Nina Minkley,2019-08-06T00:00:00Z,2020-03-31T00:00:00Z
35,Lerninfrastrukturprogramm,Bioinformatischer Designer-Katalysator,Prof. Dr. Dirk Tischler,2021-02-02T00:00:00Z,NA
35,Lerninfrastrukturprogramm,IGEM Wettbewerb,"Prof. Dr. Dirk Tischler, Frau Luise Pinske",2021-07-22T00:00:00Z,NA
35,Lerninfrastrukturprogramm,"Neukonzeption des Aufbaumoduls ""Molekulare Mechanismen zur Reparatur des Nervensystems""",Prof. Dr. Dietmar Fischer,2019-12-12T00:00:00Z,NA
35,Lerninfrastrukturprogramm,"Neukonzeption des Grundpraktikums ""Tierphysiologische Übungen""",Prof. Dr. Dietmar Fischer,2019-06-11T00:00:00Z,NA
36,eLearning-Wettbewerb 5x5000,Statistik for you,Dr. Nina Minkley,2019-08-06T00:00:00Z,2020-03-31T00:00:00Z
36,Lerninfrastrukturprogramm,Bioinformatischer Designer-Katalysator,Prof. Dr. Dirk Tischler,2021-02-02T00:00:00Z,NA
